,Componente,Unidades,Valor por 100 g,Cod,Produto
25,Vitamina B6,mg,0,C0192A,
26,Vitamina B12,mg,18,C0192A,
27,Vitamina C,mg,75,C0192A,
0,Energia,kJ,1099,C0203A,
1,Energia,kcal,266,C0203A,
2,Umidade,g,584,C0203A,
3,Carboidrato total,g,806,C0203A,
4,Carboidrato disponível,g,806,C0203A,
5,Proteína,g,6,C0203A,
6,Lipídios,g,233,C0203A,
7,Fibra alimentar,g,17,C0203A,
8,Cinzas,g,267,C0203A,
9,Colesterol,mg,445,C0203A,
10,Ácidos graxos saturados,g,75,C0203A,
11,Ácidos graxos monoinsaturados,g,968,C0203A,
12,Ácidos graxos poliinsaturados,g,473,C0203A,
13,Ácidos graxos trans,g,15,C0203A,
14,Cálcio,mg,469,C0203A,
15,Ferro,mg,145,C0203A,
16,Sódio,mg,880,C0203A,
17,Magnésio,mg,394,C0203A,
18,Fósforo,mg,109,C0203A,
19,Potássio,mg,210,C0203A,
20,Manganês,mcg,48,C0203A,
21,Zinco,mg,86,C0203A,
22,Cobre,mg,28,C0203A,
23,Niacina,mg,18,C0203A,
0,Energia,kJ,517,C0204A,
1,Energia,kcal,123,C0204A,
2,Umidade,g,694,C0204A,
3,Carboidrato total,g,172,C0204A,
4,Carboidrato disponível,g,172,C0204A,
5,Proteína,g,752,C0204A,
6,Lipídios,g,261,C0204A,
7,Fibra alimentar,g,106,C0204A,
8,Cinzas,g,225,C0204A,
9,Ácidos graxos saturados,g,59,C0204A,
10,Ácidos graxos monoinsaturados,g,87,C0204A,
11,Ácidos graxos poliinsaturados,g,99,C0204A,
12,Ácidos graxos trans,g,2,C0204A,
13,Cálcio,mg,14,C0204A,
14,Ferro,mg,63,C0204A,
15,Sódio,mg,794,C0204A,
16,Magnésio,mg,134,C0204A,
17,Fósforo,mg,831,C0204A,
18,Potássio,mg,159,C0204A,
19,Manganês,mcg,15,C0204A,
20,Zinco,mg,68,C0204A,
21,Cobre,mg,7,C0204A,
22,Vitamina A (RE),mcg,62,C0204A,
23,Vitamina A (RAE),mcg,31,C0204A,
24,Tiamina,mg,17,C0204A,
25,Niacina,mg,21,C0204A,
0,Energia,kJ,1684,C0205A,
1,Energia,kcal,402,C0205A,
2,Umidade,g,195,C0205A,
3,Carboidrato total,g,504,C0205A,
4,Carboidrato disponível,g,504,C0205A,
5,Proteína,g,9,C0205A,
6,Lipídios,g,182,C0205A,
7,Cinzas,g,29,C0205A,
8,Colesterol,mg,0,C0205A,
9,Ácidos graxos saturados,g,467,C0205A,
10,Ácidos graxos monoinsaturados,g,105,C0205A,
11,Ácidos graxos poliinsaturados,g,232,C0205A,
12,Cálcio,mg,532,C0205A,
13,Ferro,mg,194,C0205A,
14,Sódio,mg,657,C0205A,
15,Magnésio,mg,131,C0205A,
16,Fósforo,mg,75,C0205A,
17,Potássio,mg,558,C0205A,
18,Zinco,mg,35,C0205A,
19,Vitamina A (RE),mcg,0,C0205A,
20,Vitamina A (RAE),mcg,0,C0205A,
21,Tiamina,mg,35,C0205A,
22,Riboflavina,mg,19,C0205A,
23,Niacina,mg,238,C0205A,
24,Vitamina B6,mg,6,C0205A,
25,Vitamina B12,mg,0,C0205A,
26,Vitamina C,mg,0,C0205A,
27,Equivalente de folato,mcg,143,C0205A,
0,Energia,kJ,1727,C0206A,
1,Energia,kcal,412,C0206A,
2,Umidade,g,113,C0206A,
3,Carboidrato total,g,568,C0206A,
4,Carboidrato disponível,g,497,C0206A,
5,Proteína,g,134,C0206A,
6,Lipídios,g,162,C0206A,
7,Fibra alimentar,g,709,C0206A,
8,Cinzas,g,251,C0206A,
9,Colesterol,mg,0,C0206A,
10,Ácidos graxos saturados,g,254,C0206A,
11,Ácidos graxos monoinsaturados,g,364,C0206A,
12,Ácidos graxos poliinsaturados,g,861,C0206A,
13,Cálcio,mg,36,C0206A,
14,Ferro,mg,178,C0206A,
15,Sódio,mg,611,C0206A,
16,Magnésio,mg,71,C0206A,
17,Fósforo,mg,179,C0206A,
18,Potássio,mg,164,C0206A,
19,Zinco,mg,279,C0206A,
20,Vitamina A (RAE),mcg,297,C0206A,
21,Vitamina D,mcg,0,C0206A,
22,Alfa-tocoferol (Vitamina E),mcg,101,C0206A,
23,Tiamina,mg,13,C0206A,
24,Riboflavina,mg,6,C0206A,
25,Niacina,mg,108,C0206A,
26,Vitamina B6,mg,1,C0206A,
27,Vitamina B12,mg,0,C0206A,
28,Vitamina C,mg,27,C0206A,
29,Equivalente de folato,mcg,225,C0206A,
0,Energia,kJ,491,C0210A,
1,Energia,kcal,117,C0210A,
2,Umidade,g,721,C0210A,
3,Carboidrato total,g,232,C0210A,
4,Carboidrato disponível,g,21,C0210A,
5,Proteína,g,248,C0210A,
6,Lipídios,g,204,C0210A,
7,Fibra alimentar,g,216,C0210A,
8,Álcool,g,0,C0210A,
9,Cinzas,g,37,C0210A,
10,Colesterol,mg,0,C0210A,
11,Ácidos graxos saturados,g,44,C0210A,
12,Ácidos graxos monoinsaturados,g,62,C0210A,
13,Ácidos graxos poliinsaturados,g,98,C0210A,
14,Ácidos graxos trans,g,1,C0210A,
15,Cálcio,mg,275,C0210A,
16,Ferro,mg,12,C0210A,
17,Sódio,mg,56,C0210A,
18,Magnésio,mg,225,C0210A,
19,Fósforo,mg,427,C0210A,
20,Potássio,mg,43,C0210A,
21,Manganês,mcg,25,C0210A,
22,Zinco,mg,27,C0210A,
23,Cobre,mg,2,C0210A,
24,Selênio,mcg,8,C0210A,
25,Vitamina A (RE),mcg,0,C0210A,
26,Vitamina A (RAE),mcg,0,C0210A,
27,Vitamina D,mcg,0,C0210A,
28,Alfa-tocoferol (Vitamina E),mcg,35,C0210A,
29,Tiamina,mg,8,C0210A,
30,Vitamina B6,mg,9,C0210A,
31,Vitamina B12,mg,0,C0210A,
32,Vitamina C,mg,45,C0210A,
33,Equivalente de folato,mcg,452,C0210A,
0,Energia,kJ,489,C0211A,
1,Energia,kcal,116,C0211A,
2,Umidade,g,717,C0211A,
3,Carboidrato total,g,231,C0211A,
4,Carboidrato disponível,g,209,C0211A,
5,Proteína,g,247,C0211A,
6,Lipídios,g,203,C0211A,
7,Fibra alimentar,g,215,C0211A,
8,Álcool,g,0,C0211A,
9,Cinzas,g,84,C0211A,
10,Colesterol,mg,0,C0211A,
11,Ácidos graxos saturados,g,44,C0211A,
12,Ácidos graxos monoinsaturados,g,61,C0211A,
13,Ácidos graxos poliinsaturados,g,97,C0211A,
14,Ácidos graxos trans,g,1,C0211A,
15,Cálcio,mg,285,C0211A,
16,Ferro,mg,12,C0211A,
17,Sódio,mg,189,C0211A,
18,Magnésio,mg,224,C0211A,
19,Fósforo,mg,425,C0211A,
20,Potássio,mg,428,C0211A,
21,Manganês,mcg,24,C0211A,
22,Zinco,mg,27,C0211A,
23,Cobre,mg,2,C0211A,
24,Selênio,mcg,8,C0211A,
25,Vitamina A (RE),mcg,0,C0211A,
26,Vitamina A (RAE),mcg,0,C0211A,
27,Vitamina D,mcg,0,C0211A,
28,Alfa-tocoferol (Vitamina E),mcg,35,C0211A,
29,Tiamina,mg,8,C0211A,
30,Vitamina B6,mg,9,C0211A,
31,Vitamina B12,mg,0,C0211A,
32,Vitamina C,mg,45,C0211A,
33,Equivalente de folato,mcg,45,C0211A,
0,Energia,kJ,587,C0208A,
1,Energia,kcal,139,C0208A,
2,Umidade,g,664,C0208A,
3,Carboidrato total,g,293,C0208A,
4,Carboidrato disponível,g,28,C0208A,
5,Proteína,g,242,C0208A,
6,Lipídios,g,16,C0208A,
7,Fibra alimentar,g,128,C0208A,
8,Álcool,g,0,C0208A,
9,Cinzas,g,33,C0208A,
10,Colesterol,mg,0,C0208A,
11,Ácidos graxos saturados,g,33,C0208A,
12,Ácidos graxos monoinsaturados,g,33,C0208A,
13,Ácidos graxos poliinsaturados,g,77,C0208A,
14,Ácidos graxos trans,g,1,C0208A,
15,Cálcio,mg,575,C0208A,
16,Ferro,mg,33,C0208A,
17,Sódio,mg,16,C0208A,
18,Magnésio,mg,238,C0208A,
19,Fósforo,mg,225,C0208A,
20,Potássio,mg,319,C0208A,
21,Manganês,mcg,1,C0208A,
22,Zinco,mg,52,C0208A,
23,Cobre,mg,16,C0208A,
24,Selênio,mcg,165,C0208A,
25,Vitamina A (RE),mcg,0,C0208A,
26,Vitamina A (RAE),mcg,0,C0208A,
27,Vitamina D,mcg,0,C0208A,
28,Alfa-tocoferol (Vitamina E),mcg,19,C0208A,
29,Vitamina B6,mg,2,C0208A,
30,Vitamina B12,mg,0,C0208A,
31,Vitamina C,mg,45,C0208A,
32,Equivalente de folato,mcg,27,C0208A,
0,Energia,kJ,584,C0209A,
1,Energia,kcal,138,C0209A,
2,Umidade,g,661,C0209A,
3,Carboidrato total,g,292,C0209A,
4,Carboidrato disponível,g,279,C0209A,
5,Proteína,g,241,C0209A,
6,Lipídios,g,159,C0209A,
7,Fibra alimentar,g,127,C0209A,
8,Álcool,g,0,C0209A,
9,Cinzas,g,8,C0209A,
10,Colesterol,mg,0,C0209A,
11,Ácidos graxos saturados,g,33,C0209A,
12,Ácidos graxos monoinsaturados,g,33,C0209A,
13,Ácidos graxos poliinsaturados,g,77,C0209A,
14,Ácidos graxos trans,g,1,C0209A,
15,Cálcio,mg,583,C0209A,
16,Ferro,mg,33,C0209A,
17,Sódio,mg,190,C0209A,
18,Magnésio,mg,237,C0209A,
19,Fósforo,mg,224,C0209A,
20,Potássio,mg,317,C0209A,
21,Manganês,mcg,1,C0209A,
22,Zinco,mg,52,C0209A,
23,Cobre,mg,16,C0209A,
24,Selênio,mcg,164,C0209A,
25,Vitamina A (RE),mcg,0,C0209A,
26,Vitamina A (RAE),mcg,0,C0209A,
27,Vitamina D,mcg,0,C0209A,
28,Alfa-tocoferol (Vitamina E),mcg,19,C0209A,
29,Vitamina B6,mg,2,C0209A,
30,Vitamina B12,mg,0,C0209A,
31,Vitamina C,mg,45,C0209A,
32,Equivalente de folato,mcg,269,C0209A,
0,Energia,kJ,1607,C0207A,
1,Energia,kcal,382,C0207A,
2,Umidade,g,875,C0207A,
3,Carboidrato total,g,654,C0207A,
4,Carboidrato disponível,g,556,C0207A,
5,Proteína,g,155,C0207A,
6,Lipídios,g,87,C0207A,
7,Fibra alimentar,g,975,C0207A,
8,Álcool,g,0,C0207A,
9,Cinzas,g,181,C0207A,
10,Colesterol,mg,0,C0207A,
11,Ácidos graxos saturados,g,158,C0207A,
12,Ácidos graxos monoinsaturados,g,324,C0207A,
13,Ácidos graxos poliinsaturados,g,309,C0207A,
14,Cálcio,mg,481,C0207A,
15,Ferro,mg,447,C0207A,
16,Sódio,mg,465,C0207A,
17,Magnésio,mg,120,C0207A,
18,Fósforo,mg,155,C0207A,
19,Potássio,mg,338,C0207A,
20,Manganês,mcg,191,C0207A,
21,Zinco,mg,265,C0207A,
22,Cobre,mg,45,C0207A,
23,Vitamina A (RE),mcg,0,C0207A,
24,Vitamina A (RAE),mcg,0,C0207A,
25,Vitamina D,mcg,0,C0207A,
26,Tiamina,mg,56,C0207A,
27,Riboflavina,mg,4,C0207A,
28,Niacina,mg,449,C0207A,
29,Vitamina B12,mg,0,C0207A,
30,Vitamina C,mg,136,C0207A,
31,Equivalente de folato,mcg,557,C0207A,
0,Energia,kJ,1841,C0200A,
1,Energia,kcal,437,C0200A,
2,Umidade,g,322,C0200A,
3,Carboidrato total,g,753,C0200A,
4,Carboidrato disponível,g,732,C0200A,
5,Proteína,g,808,C0200A,
6,Lipídios,g,12,C0200A,
7,Fibra alimentar,g,21,C0200A,
8,Álcool,g,0,C0200A,
9,Cinzas,g,151,C0200A,
10,Colesterol,mg,0,C0200A,
11,Ácidos graxos saturados,g,39,C0200A,
12,Ácidos graxos monoinsaturados,g,37,C0200A,
13,Ácidos graxos poliinsaturados,g,22,C0200A,
14,Ácidos graxos trans,g,158,C0200A,
15,Cálcio,mg,545,C0200A,
16,Ferro,mg,426,C0200A,
17,Sódio,mg,353,C0200A,
18,Magnésio,mg,372,C0200A,
19,Fósforo,mg,167,C0200A,
20,Potássio,mg,142,C0200A,
21,Manganês,mcg,78,C0200A,
22,Zinco,mg,98,C0200A,
23,Cobre,mg,17,C0200A,
24,Selênio,mcg,48,C0200A,
25,Vitamina A (RE),mcg,695,C0200A,
26,Vitamina A (RAE),mcg,695,C0200A,
27,Vitamina D,mcg,0,C0200A,
28,Alfa-tocoferol (Vitamina E),mcg,91,C0200A,
29,Tiamina,mg,101,C0200A,
30,Riboflavina,mg,42,C0200A,
31,Niacina,mg,391,C0200A,
32,Vitamina B6,mg,23,C0200A,
33,Vitamina B12,mg,0,C0200A,
34,Equivalente de folato,mcg,146,C0200A,
0,Energia,kJ,1850,C0201A,
1,Energia,kcal,440,C0201A,
2,Umidade,g,314,C0201A,
3,Carboidrato total,g,692,C0201A,
4,Carboidrato disponível,g,665,C0201A,
5,Proteína,g,112,C0201A,
6,Lipídios,g,138,C0201A,
7,Fibra alimentar,g,267,C0201A,
8,Álcool,g,0,C0201A,
9,Cinzas,g,284,C0201A,
10,Colesterol,mg,754,C0201A,
11,Ácidos graxos saturados,g,42,C0201A,
12,Ácidos graxos monoinsaturados,g,44,C0201A,
13,Ácidos graxos poliinsaturados,g,277,C0201A,
14,Ácidos graxos trans,g,172,C0201A,
15,Cálcio,mg,202,C0201A,
16,Ferro,mg,463,C0201A,
17,Sódio,mg,863,C0201A,
18,Magnésio,mg,402,C0201A,
19,Fósforo,mg,150,C0201A,
20,Potássio,mg,183,C0201A,
21,Manganês,mcg,7,C0201A,
22,Zinco,mg,156,C0201A,
23,Cobre,mg,19,C0201A,
24,Selênio,mcg,64,C0201A,
25,Vitamina A (RE),mcg,869,C0201A,
26,Vitamina A (RAE),mcg,865,C0201A,
27,Vitamina D,mcg,5,C0201A,
28,Alfa-tocoferol (Vitamina E),mcg,94,C0201A,
29,Tiamina,mg,72,C0201A,
30,Riboflavina,mg,14,C0201A,
31,Niacina,mg,721,C0201A,
32,Vitamina B6,mg,18,C0201A,
33,Vitamina B12,mg,3,C0201A,
34,Vitamina C,mg,628,C0201A,
35,Equivalente de folato,mcg,160,C0201A,
0,Energia,kJ,1834,C0197A,
1,Energia,kcal,438,C0197A,
2,Umidade,g,155,C0197A,
3,Carboidrato total,g,558,C0197A,
4,Carboidrato disponível,g,55,C0197A,
5,Proteína,g,726,C0197A,
6,Lipídios,g,208,C0197A,
7,Fibra alimentar,g,83,C0197A,
8,Álcool,g,0,C0197A,
9,Cinzas,g,78,C0197A,
10,Colesterol,mg,144,C0197A,
11,Ácidos graxos saturados,g,116,C0197A,
12,Ácidos graxos monoinsaturados,g,563,C0197A,
13,Ácidos graxos poliinsaturados,g,8,C0197A,
14,Ácidos graxos trans,g,6,C0197A,
15,Cálcio,mg,415,C0197A,
16,Ferro,mg,236,C0197A,
17,Sódio,mg,621,C0197A,
18,Magnésio,mg,154,C0197A,
19,Fósforo,mg,992,C0197A,
20,Potássio,mg,121,C0197A,
21,Manganês,mcg,15,C0197A,
22,Zinco,mg,73,C0197A,
23,Cobre,mg,8,C0197A,
24,Selênio,mcg,742,C0197A,
25,Vitamina A (RE),mcg,263,C0197A,
26,Vitamina A (RAE),mcg,259,C0197A,
27,Vitamina D,mcg,52,C0197A,
28,Alfa-tocoferol (Vitamina E),mcg,81,C0197A,
29,Tiamina,mg,1,C0197A,
30,Riboflavina,mg,18,C0197A,
31,Niacina,mg,75,C0197A,
32,Vitamina B6,mg,0,C0197A,
33,Vitamina B12,mg,31,C0197A,
34,Vitamina C,mg,0,C0197A,
35,Equivalente de folato,mcg,745,C0197A,
0,Energia,kJ,470,C0185A,
1,Energia,kcal,111,C0185A,
2,Umidade,g,719,C0185A,
3,Carboidrato total,g,256,C0185A,
4,Carboidrato disponível,g,243,C0185A,
5,Proteína,g,226,C0185A,
6,Lipídios,g,23,C0185A,
7,Fibra alimentar,g,128,C0185A,
8,Álcool,g,0,C0185A,
9,Cinzas,g,9,C0185A,
10,Colesterol,mg,0,C0185A,
11,Ácidos graxos saturados,g,7,C0185A,
12,Ácidos graxos monoinsaturados,g,5,C0185A,
13,Ácidos graxos poliinsaturados,g,1,C0185A,
14,Cálcio,mg,64,C0185A,
15,Ferro,mg,11,C0185A,
16,Sódio,mg,21,C0185A,
17,Magnésio,mg,401,C0185A,
18,Fósforo,mg,127,C0185A,
19,Potássio,mg,242,C0185A,
20,Manganês,mcg,3,C0185A,
21,Zinco,mg,12,C0185A,
22,Cobre,mg,2,C0185A,
23,Selênio,mcg,487,C0185A,
24,Vitamina A (RE),mcg,0,C0185A,
25,Vitamina A (RAE),mcg,0,C0185A,
26,Vitamina D,mcg,0,C0185A,
27,Alfa-tocoferol (Vitamina E),mcg,3,C0185A,
28,Vitamina B12,mg,0,C0185A,
29,Equivalente de folato,mcg,398,C0185A,
0,Energia,kJ,477,C0184A,
1,Energia,kcal,113,C0184A,
2,Umidade,g,725,C0184A,
3,Carboidrato total,g,237,C0184A,
4,Carboidrato disponível,g,225,C0184A,
5,Proteína,g,237,C0184A,
6,Lipídios,g,125,C0184A,
7,Fibra alimentar,g,122,C0184A,
8,Álcool,g,0,C0184A,
9,Cinzas,g,28,C0184A,
10,Colesterol,mg,136,C0184A,
11,Ácidos graxos saturados,g,61,C0184A,
12,Ácidos graxos monoinsaturados,g,37,C0184A,
13,Ácidos graxos poliinsaturados,g,15,C0184A,
14,Ácidos graxos trans,g,3,C0184A,
15,Cálcio,mg,426,C0184A,
16,Ferro,mg,6,C0184A,
17,Sódio,mg,276,C0184A,
18,Magnésio,mg,584,C0184A,
19,Fósforo,mg,406,C0184A,
20,Potássio,mg,699,C0184A,
21,Manganês,mcg,2,C0184A,
22,Zinco,mg,28,C0184A,
23,Cobre,mg,3,C0184A,
24,Selênio,mcg,455,C0184A,
25,Vitamina A (RE),mcg,58,C0184A,
26,Vitamina A (RAE),mcg,29,C0184A,
27,Vitamina D,mcg,0,C0184A,
28,Alfa-tocoferol (Vitamina E),mcg,5,C0184A,
29,Riboflavina,mg,4,C0184A,
30,Vitamina B12,mg,13,C0184A,
31,Equivalente de folato,mcg,376,C0184A,
0,Energia,kJ,536,C0194A,
1,Energia,kcal,127,C0194A,
2,Umidade,g,687,C0194A,
3,Carboidrato total,g,269,C0194A,
4,Carboidrato disponível,g,261,C0194A,
5,Proteína,g,362,C0194A,
6,Lipídios,g,69,C0194A,
7,Fibra alimentar,g,81,C0194A,
8,Álcool,g,0,C0194A,
9,Cinzas,g,19,C0194A,
10,Colesterol,mg,615,C0194A,
11,Ácidos graxos saturados,g,19,C0194A,
12,Ácidos graxos monoinsaturados,g,14,C0194A,
13,Ácidos graxos poliinsaturados,g,27,C0194A,
14,Ácidos graxos trans,g,4,C0194A,
15,Cálcio,mg,647,C0194A,
16,Ferro,mg,111,C0194A,
17,Sódio,mg,258,C0194A,
18,Fósforo,mg,394,C0194A,
19,Potássio,mg,282,C0194A,
20,Manganês,mcg,0,C0194A,
21,Zinco,mg,29,C0194A,
22,Cobre,mg,5,C0194A,
23,Selênio,mcg,179,C0194A,
24,Vitamina A (RE),mcg,0,C0194A,
25,Vitamina A (RAE),mcg,0,C0194A,
26,Vitamina D,mcg,0,C0194A,
27,Alfa-tocoferol (Vitamina E),mcg,6,C0194A,
28,Tiamina,mg,4,C0194A,
29,Riboflavina,mg,2,C0194A,
30,Niacina,mg,138,C0194A,
31,Vitamina B6,mg,1,C0194A,
32,Vitamina B12,mg,0,C0194A,
33,Vitamina C,mg,0,C0194A,
34,Equivalente de folato,mcg,669,C0194A,
0,Energia,kJ,758,C0213A,
1,Energia,kcal,181,C0213A,
2,Umidade,g,631,C0213A,
3,Carboidrato total,g,26,C0213A,
4,Carboidrato disponível,g,251,C0213A,
5,Proteína,g,366,C0213A,
6,Lipídios,g,709,C0213A,
7,Fibra alimentar,g,96,C0213A,
8,Álcool,g,0,C0213A,
9,Cinzas,g,26,C0213A,
10,Colesterol,mg,554,C0213A,
11,Ácidos graxos saturados,g,116,C0213A,
12,Ácidos graxos monoinsaturados,g,163,C0213A,
13,Ácidos graxos poliinsaturados,g,412,C0213A,
14,Ácidos graxos trans,g,7,C0213A,
15,Cálcio,mg,68,C0213A,
16,Ferro,mg,106,C0213A,
17,Sódio,mg,271,C0213A,
18,Magnésio,mg,154,C0213A,
19,Fósforo,mg,462,C0213A,
20,Potássio,mg,638,C0213A,
21,Manganês,mcg,2,C0213A,
22,Zinco,mg,32,C0213A,
23,Cobre,mg,7,C0213A,
24,Selênio,mcg,177,C0213A,
25,Vitamina A (RE),mcg,0,C0213A,
26,Vitamina A (RAE),mcg,0,C0213A,
27,Vitamina D,mcg,0,C0213A,
28,Alfa-tocoferol (Vitamina E),mcg,9,C0213A,
29,Tiamina,mg,5,C0213A,
30,Riboflavina,mg,2,C0213A,
31,Niacina,mg,124,C0213A,
32,Vitamina B6,mg,4,C0213A,
33,Vitamina B12,mg,0,C0213A,
34,Vitamina C,mg,15,C0213A,
35,Equivalente de folato,mcg,603,C0213A,
0,Energia,kJ,754,C0214A,
1,Energia,kcal,180,C0214A,
2,Umidade,g,628,C0214A,
3,Carboidrato total,g,259,C0214A,
4,Carboidrato disponível,g,249,C0214A,
5,Proteína,g,364,C0214A,
6,Lipídios,g,706,C0214A,
7,Fibra alimentar,g,95,C0214A,
8,Álcool,g,0,C0214A,
9,Cinzas,g,73,C0214A,
10,Colesterol,mg,551,C0214A,
11,Ácidos graxos saturados,g,115,C0214A,
12,Ácidos graxos monoinsaturados,g,162,C0214A,
13,Ácidos graxos poliinsaturados,g,41,C0214A,
14,Ácidos graxos trans,g,7,C0214A,
15,Cálcio,mg,688,C0214A,
16,Ferro,mg,106,C0214A,
17,Sódio,mg,191,C0214A,
18,Magnésio,mg,153,C0214A,
19,Fósforo,mg,46,C0214A,
20,Potássio,mg,636,C0214A,
21,Manganês,mcg,2,C0214A,
22,Zinco,mg,32,C0214A,
23,Cobre,mg,7,C0214A,
24,Selênio,mcg,176,C0214A,
25,Vitamina A (RE),mcg,0,C0214A,
26,Vitamina A (RAE),mcg,0,C0214A,
27,Vitamina D,mcg,0,C0214A,
28,Alfa-tocoferol (Vitamina E),mcg,9,C0214A,
29,Tiamina,mg,5,C0214A,
30,Riboflavina,mg,2,C0214A,
31,Niacina,mg,124,C0214A,
32,Vitamina B6,mg,4,C0214A,
33,Vitamina B12,mg,0,C0214A,
34,Vitamina C,mg,149,C0214A,
35,Equivalente de folato,mcg,601,C0214A,
0,Energia,kJ,460,C0217A,
1,Energia,kcal,109,C0217A,
2,Umidade,g,722,C0217A,
3,Carboidrato total,g,233,C0217A,
4,Carboidrato disponível,g,213,C0217A,
5,Proteína,g,328,C0217A,
6,Lipídios,g,71,C0217A,
7,Fibra alimentar,g,2,C0217A,
8,Álcool,g,0,C0217A,
9,Cinzas,g,59,C0217A,
10,Colesterol,mg,492,C0217A,
11,Ácidos graxos saturados,g,17,C0217A,
12,Ácidos graxos monoinsaturados,g,13,C0217A,
13,Ácidos graxos poliinsaturados,g,25,C0217A,
14,Ácidos graxos trans,g,3,C0217A,
15,Cálcio,mg,706,C0217A,
16,Ferro,mg,117,C0217A,
17,Sódio,mg,998,C0217A,
18,Magnésio,mg,219,C0217A,
19,Fósforo,mg,379,C0217A,
20,Potássio,mg,114,C0217A,
21,Manganês,mcg,14,C0217A,
22,Zinco,mg,26,C0217A,
23,Cobre,mg,6,C0217A,
24,Selênio,mcg,162,C0217A,
25,Vitamina A (RE),mcg,188,C0217A,
26,Vitamina A (RAE),mcg,939,C0217A,
27,Vitamina D,mcg,0,C0217A,
28,Alfa-tocoferol (Vitamina E),mcg,79,C0217A,
29,Tiamina,mg,3,C0217A,
30,Riboflavina,mg,2,C0217A,
31,Niacina,mg,111,C0217A,
32,Vitamina B6,mg,3,C0217A,
33,Vitamina B12,mg,0,C0217A,
34,Vitamina C,mg,64,C0217A,
35,Equivalente de folato,mcg,564,C0217A,
0,Energia,kJ,457,C0218A,
1,Energia,kcal,108,C0218A,
2,Umidade,g,719,C0218A,
3,Carboidrato total,g,232,C0218A,
4,Carboidrato disponível,g,212,C0218A,
5,Proteína,g,327,C0218A,
6,Lipídios,g,71,C0218A,
7,Fibra alimentar,g,199,C0218A,
8,Álcool,g,0,C0218A,
9,Cinzas,g,105,C0218A,
10,Colesterol,mg,49,C0218A,
11,Ácidos graxos saturados,g,17,C0218A,
12,Ácidos graxos monoinsaturados,g,13,C0218A,
13,Ácidos graxos poliinsaturados,g,25,C0218A,
14,Ácidos graxos trans,g,3,C0218A,
15,Cálcio,mg,714,C0218A,
16,Ferro,mg,117,C0218A,
17,Sódio,mg,288,C0218A,
18,Magnésio,mg,218,C0218A,
19,Fósforo,mg,377,C0218A,
20,Potássio,mg,113,C0218A,
21,Manganês,mcg,14,C0218A,
22,Zinco,mg,26,C0218A,
23,Cobre,mg,6,C0218A,
24,Selênio,mcg,162,C0218A,
25,Vitamina A (RE),mcg,187,C0218A,
26,Vitamina A (RAE),mcg,935,C0218A,
27,Vitamina D,mcg,0,C0218A,
28,Alfa-tocoferol (Vitamina E),mcg,78,C0218A,
29,Tiamina,mg,3,C0218A,
30,Riboflavina,mg,2,C0218A,
31,Niacina,mg,11,C0218A,
32,Vitamina B6,mg,3,C0218A,
33,Vitamina B12,mg,0,C0218A,
34,Vitamina C,mg,63,C0218A,
35,Equivalente de folato,mcg,561,C0218A,
0,Energia,kJ,590,C0219A,
1,Energia,kcal,140,C0219A,
2,Umidade,g,681,C0219A,
3,Carboidrato total,g,248,C0219A,
4,Carboidrato disponível,g,241,C0219A,
5,Proteína,g,399,C0219A,
6,Lipídios,g,29,C0219A,
7,Fibra alimentar,g,7,C0219A,
8,Álcool,g,0,C0219A,
9,Cinzas,g,37,C0219A,
10,Colesterol,mg,864,C0219A,
11,Ácidos graxos saturados,g,118,C0219A,
12,Ácidos graxos monoinsaturados,g,68,C0219A,
13,Ácidos graxos poliinsaturados,g,79,C0219A,
14,Ácidos graxos trans,g,4,C0219A,
15,Cálcio,mg,378,C0219A,
16,Ferro,mg,1,C0219A,
17,Sódio,mg,219,C0219A,
18,Magnésio,mg,346,C0219A,
19,Fósforo,mg,585,C0219A,
20,Potássio,mg,646,C0219A,
21,Manganês,mcg,1,C0219A,
22,Zinco,mg,37,C0219A,
23,Cobre,mg,5,C0219A,
24,Selênio,mcg,299,C0219A,
25,Vitamina A (RE),mcg,198,C0219A,
26,Vitamina A (RAE),mcg,196,C0219A,
27,Vitamina D,mcg,0,C0219A,
28,Alfa-tocoferol (Vitamina E),mcg,33,C0219A,
29,Tiamina,mg,5,C0219A,
30,Riboflavina,mg,9,C0219A,
31,Niacina,mg,156,C0219A,
32,Vitamina B6,mg,1,C0219A,
33,Vitamina B12,mg,11,C0219A,
34,Vitamina C,mg,0,C0219A,
35,Equivalente de folato,mcg,587,C0219A,
0,Energia,kJ,587,C0220A,
1,Energia,kcal,139,C0220A,
2,Umidade,g,678,C0220A,
3,Carboidrato total,g,247,C0220A,
4,Carboidrato disponível,g,24,C0220A,
5,Proteína,g,397,C0220A,
6,Lipídios,g,288,C0220A,
7,Fibra alimentar,g,7,C0220A,
8,Álcool,g,0,C0220A,
9,Cinzas,g,83,C0220A,
10,Colesterol,mg,859,C0220A,
11,Ácidos graxos saturados,g,118,C0220A,
12,Ácidos graxos monoinsaturados,g,68,C0220A,
13,Ácidos graxos poliinsaturados,g,79,C0220A,
14,Ácidos graxos trans,g,4,C0220A,
15,Cálcio,mg,377,C0220A,
16,Ferro,mg,99,C0220A,
17,Sódio,mg,210,C0220A,
18,Magnésio,mg,345,C0220A,
19,Fósforo,mg,582,C0220A,
20,Potássio,mg,644,C0220A,
21,Manganês,mcg,1,C0220A,
